"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 10 23:59:04 MSK 2022","Wed Aug 10 23:59:25 MSK 2022","21286","","","","","","Документ.toledo_ПроектДоговора.Форма.ФормаСписка.Форма. Отсутствует обработчик","Отсутствует обработчик: Список ""СписокПередНачаломДобавления"""
"failed","Thu Aug 11 03:29:48 MSK 2022","Thu Aug 11 03:30:09 MSK 2022","21286","","","","","","Обработка.toledo_АвтоПечатьДокументовНаСклад.Форма.Форма.Форма. Пустой обработчик","Пустой обработчик: ""ПриЗакрытии"""
"failed","Thu Aug 11 01:42:39 MSK 2022","Thu Aug 11 01:43:01 MSK 2022","21286","","","","","","Документ.ТелефонныйЗвонок.Форма.сфпФормаДокумента.Форма. Отсутствует обработчик","Отсутствует обработчик: сфпЗагрузитьИсториюЗвонков ""сфпЗагрузитьИсториюЗвонков"""
"failed","Thu Aug 11 02:18:29 MSK 2022","Thu Aug 11 02:18:50 MSK 2022","21286","","","","","","Отчет.LAD_ГарантийныеПисьма.Форма.ФормаОтчета.Форма. 12,42: Переменная не определена","Строка 12,42: Переменная не определена (КонецПериода) #> Область.Параметры.КонецПериода = Формат(<<?>>КонецПериода, ""ДФ=dd.MM.yyyy""); (Проверка: Толстый клиент (обычное приложение))"
"failed","Wed Aug 10 21:41:46 MSK 2022","Wed Aug 10 21:42:07 MSK 2022","21286","","","","","","Справочник.МаркетинговыеМероприятия.Форма.CRM_ФормаЭлемента.Форма. Не обнаружено ссылок на процедуру","Не обнаружено ссылок на процедуру: ""СвойстваВыполнитьОтложеннуюИнициализацию"""
"failed","Wed Aug 10 22:06:36 MSK 2022","Wed Aug 10 22:06:57 MSK 2022","21286","","","","","","Справочник.Партнеры.Форма.CRM_ФормаРедактированияВидовДеятельности.Форма. Отсутствует обработчик","Отсутствует обработчик: ВидыДеятельности ""ВидыДеятельностиПриНачалеРедактирования"""
"failed","Thu Aug 11 05:04:31 MSK 2022","Thu Aug 11 05:04:52 MSK 2022","21286","","","","","","РегистрСведений.toledo_СтатусыОбъектов.Форма.ФормаСписка.Форма. Пустой обработчик","Пустой обработчик: ""СписокПриПолученииДанныхНаСервере"""
"failed","Wed Aug 10 20:18:45 MSK 2022","Wed Aug 10 20:19:06 MSK 2022","21286","","","","","","ОбщийМодуль.СА_ПроцедурыСканАрхиваСервер.Модуль. Возможно ошибочный параметр","Возможно ошибочный параметр: ""ФормаПечати"""
"failed","Wed Aug 10 16:48:44 MSK 2022","Wed Aug 10 16:49:05 MSK 2022","21286","","","","","","ОбщийМодуль.LAD_СохранениеНастроек.Модуль. Возможно ошибочное свойство","Возможно ошибочное свойство: ""ТипыНастроек"""
"failed","Wed Aug 10 20:15:55 MSK 2022","Wed Aug 10 20:16:16 MSK 2022","21286","","","","","","ОбщийМодуль.СА_ПроцедурыСканАрхиваКлиент.Модуль. 1081,27: Переменная не определена","Строка 1081,27: Переменная не определена (СА_РаботаСФормамиКлиент) #> СканОбразИзХранилища = <<?>>СА_РаботаСФормамиКлиент.ПолучитьСканОбразИзХранилища(Запись.Вложение); (Проверка: Внешнее соединение)"
"failed","Wed Aug 10 22:57:20 MSK 2022","Wed Aug 10 22:57:41 MSK 2022","21286","","","","","","Документ.LAD_СогласованиеУсловийФУ.МодульОбъекта. Возможно ошибочный метод","Возможно ошибочный метод: ""Сообщение"""
"failed","Thu Aug 11 01:41:14 MSK 2022","Thu Aug 11 01:41:35 MSK 2022","21286","","","","","","Документ.ТелефонныйЗвонок.Форма.сфпФормаДокумента.Форма. Не обнаружено ссылок на функцию","Не обнаружено ссылок на функцию: ""УказыватьПричинуОтклонения"""
"failed","Thu Aug 11 01:46:55 MSK 2022","Thu Aug 11 01:47:16 MSK 2022","21286","","","","","","Документ.удалитьCRM_Мероприятие.Форма.ФормаДокумента.Форма. Отсутствует обработчик","Отсутствует обработчик: РассылкаПоУмолчаниюGApi ""РассылкаПоУмолчаниюGApiПриИзменении"""
"failed","Thu Aug 11 04:24:04 MSK 2022","Thu Aug 11 04:24:26 MSK 2022","21286","","","","","","Обработка.ПечатьСчетовНаОплату.МодульМенеджера. Не обнаружено ссылок на процедуру","Не обнаружено ссылок на процедуру: ""ВывестиQRКод"""
"failed","Thu Aug 11 00:27:05 MSK 2022","Thu Aug 11 00:27:27 MSK 2022","21286","","","","","","Документ.ВозвратТоваровОтКлиента.МодульМенеджера. Не обнаружено ссылок на функцию","Не обнаружено ссылок на функцию: ""ТекстЗапросаТаблицаLAD_ПродажиПланСеб_Старый"""
"failed","Thu Aug 11 05:01:19 MSK 2022","Thu Aug 11 05:01:41 MSK 2022","21286","","","","","","РегистрСведений.LAD_СвязанныеКонтрагенты.Форма.ФормаСпискаОбычная.Форма. Возможно ошибочное свойство","Возможно ошибочное свойство: ""ВнешниеОбработки"""
